English Name_Nom anglais,French Name_Nom français,Scientific Name_Nom scientifique,Regularly Occurring Native Species (included in analyses) _Espèce indigène régulièrement présente (incluse dans les analyses),Species Whose Range Expanded Into Canada Since 1970 (excluded from indicators) _Espèces dont l'aire de répartition s'est étendue au Canada depuis 1970 (exclus des indicateurs),Waterfowl _Sauvagine,Birds of Prey _Oiseaux de proie,Wetland Birds _Oiseaux de milieux humides,Seabirds _Oiseaux de mer,Forest Birds _Oiseaux forestiers,All Other Birds _Tous les autres oiseaux,Shorebirds _Oiseaux de rivage,Grassland Birds _Oiseaux de prairie,Aerial Insectivores _Insectivores aériens,Waterfowl and Wetland Birds - Goose species _Sauvagine et oiseaux de milieux humides - espèces d'oies,Waterfowl and Wetland Birds - Duck Species _Sauvagine et oiseaux de milieux humides - espèces de canards,Grassland Birds - Species Dependent On Native  Grassland _Oiseaux de prairie - espèces dépendantes des prairies indigènes,Grassland Birds - Species Tolerant Of Agriculture _Oiseaux de prairie - espèces tolérantes des paysages agricoles,Shorebirds - Long-distance Migrants _Oiseaux de rivage migrant sur de grandes distances,Shorebirds - Short-distance Migrants _Oiseaux de rivage migrant sur de courtes distances,Forest Birds - Species Wintering In South America _Oiseaux forestiers - espèces hivernant en Amérique du Sud,Forest Birds - Species Wintering In Canada _Oiseaux forestiers - espèces hivernant au Canada,Forest Birds - Forest Crop Specialists _Oiseaux forestiers - spécialistes de graines et de fruits d'arbres,
Ruby-throated Hummingbird,Colibri à gorge rubis,Archilochus colubris,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Black-chinned Hummingbird,Colibri à gorge noire,Archilochus alexandri,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Anna's Hummingbird,Colibri d'Anna,Calypte anna,,Included_Inclus,,,,,,,,,,,,,,,,,,,
Rufous Hummingbird,Colibri roux,Selasphorus rufus,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Calliope Hummingbird,Colibri calliope,Selasphorus calliope,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Yellow Rail,Râle jaune,Coturnicops noveboracensis,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
King Rail,Râle élégant,Rallus elegans,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Virginia Rail,Râle de Virginie,Rallus limicola,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Sora,Marouette de Caroline,Porzana carolina,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Common Gallinule,Gallinule d'Amérique,Gallinula galeata,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
American Coot,Foulque d'Amérique,Fulica americana,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Sandhill Crane,Grue du Canada,Antigone canadensis,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Whooping Crane,Grue blanche,Grus americana,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Black-necked Stilt,Échasse d'Amérique,Himantopus mexicanus,,Included_Inclus,,,,,,,,,,,,,,,,,,,
American Avocet,Avocette d'Amérique,Recurvirostra americana,Included_Inclus,,,,,,,,Included_Inclus,,,,,,,,Included_Inclus,,,,
American Oystercatcher,Huîtrier d'Amérique,Haematopus palliatus,Included_Inclus,,,,,,,,Included_Inclus,,,,,,,,Included_Inclus,,,,
Black Oystercatcher,Huîtrier de Bachman,Haematopus bachmani,Included_Inclus,,,,,,,,Included_Inclus,,,,,,,,Included_Inclus,,,,
Black-bellied Plover,Pluvier argenté,Pluvialis squatarola,Included_Inclus,,,,,,,,Included_Inclus,,,,,,,Included_Inclus,,,,,
American Golden-Plover,Pluvier bronzé,Pluvialis dominica,Included_Inclus,,,,,,,,Included_Inclus,,,,,,,Included_Inclus,,,,,
Pacific Golden-Plover,Pluvier fauve,Pluvialis fulva,Included_Inclus,,,,,,,,Included_Inclus,,,,,,,,Included_Inclus,,,,
Snowy Plover,Pluvier neigeux,Charadrius nivosus,Included_Inclus,,,,,,,,Included_Inclus,,,,,,,,Included_Inclus,,,,
Common Ringed Plover,Pluvier grand-gravelot,Charadrius hiaticula,Included_Inclus,,,,,,,,Included_Inclus,,,,,,,,Included_Inclus,,,,
Semipalmated Plover,Pluvier semipalmé,Charadrius semipalmatus,Included_Inclus,,,,,,,,Included_Inclus,,,,,,,Included_Inclus,,,,,
Piping Plover,Pluvier siffleur,Charadrius melodus,Included_Inclus,,,,,,,,Included_Inclus,,,,,,,,Included_Inclus,,,,
Killdeer,Pluvier kildir,Charadrius vociferus,Included_Inclus,,,,,,,,Included_Inclus,,,,,,,,Included_Inclus,,,,
Mountain Plover,Pluvier montagnard,Charadrius montanus,Included_Inclus,,,,,,,,Included_Inclus,Included_Inclus,,,,,,,Included_Inclus,,,,
Upland Sandpiper,Maubèche des champs,Bartramia longicauda,Included_Inclus,,,,,,,,Included_Inclus,Included_Inclus,,,,,Included_Inclus,,Included_Inclus,,,,
Whimbrel,Courlis corlieu,Numenius phaeopus,Included_Inclus,,,,,,,,Included_Inclus,,,,,,,Included_Inclus,,,,,
Eskimo Curlew,Courlis esquimau,Numenius borealis,Included_Inclus,,,,,,,,Included_Inclus,Included_Inclus,,,,,,Included_Inclus,,,,,
Long-billed Curlew,Courlis à long bec,Numenius americanus,Included_Inclus,,,,,,,,Included_Inclus,Included_Inclus,,,,,Included_Inclus,,Included_Inclus,,,,
Hudsonian Godwit,Barge hudsonienne,Limosa haemastica,Included_Inclus,,,,,,,,Included_Inclus,,,,,,,Included_Inclus,,,,,
Marbled Godwit,Barge marbrée,Limosa fedoa,Included_Inclus,,,,,,,,Included_Inclus,,,,,,,,Included_Inclus,,,,
Ruddy Turnstone,Tournepierre à collier,Arenaria interpres,Included_Inclus,,,,,,,,Included_Inclus,,,,,,,Included_Inclus,,,,,
Black Turnstone,Tournepierre noir,Arenaria melanocephala,Included_Inclus,,,,,,,,Included_Inclus,,,,,,,,Included_Inclus,,,,
Red Knot,Bécasseau maubèche,Calidris canutus,Included_Inclus,,,,,,,,Included_Inclus,,,,,,,Included_Inclus,,,,,
Surfbird,Bécasseau du ressac,Calidris virgata,Included_Inclus,,,,,,,,Included_Inclus,,,,,,,,Included_Inclus,,,,
Ruff,Combattant varié,Calidris pugnax,Included_Inclus,,,,,,,,Included_Inclus,,,,,,,,Included_Inclus,,,,
Sharp-tailed Sandpiper,Bécasseau à queue pointue,Calidris acuminata,Included_Inclus,,,,,,,,Included_Inclus,,,,,,,,Included_Inclus,,,,
Stilt Sandpiper,Bécasseau à échasses,Calidris himantopus,Included_Inclus,,,,,,,,Included_Inclus,,,,,,,Included_Inclus,,,,,
Sanderling,Bécasseau sanderling,Calidris alba,Included_Inclus,,,,,,,,Included_Inclus,,,,,,,Included_Inclus,,,,,
Dunlin,Bécasseau variable,Calidris alpina,Included_Inclus,,,,,,,,Included_Inclus,,,,,,,,Included_Inclus,,,,
Rock Sandpiper,Bécasseau des Aléoutiennes,Calidris ptilocnemis,Included_Inclus,,,,,,,,Included_Inclus,,,,,,,,Included_Inclus,,,,
Purple Sandpiper,Bécasseau violet,Calidris maritima,Included_Inclus,,,,,,,,Included_Inclus,,,,,,,,Included_Inclus,,,,
Baird's Sandpiper,Bécasseau de Baird,Calidris bairdii,Included_Inclus,,,,,,,,Included_Inclus,,,,,,,Included_Inclus,,,,,
Least Sandpiper,Bécasseau minuscule,Calidris minutilla,Included_Inclus,,,,,,,,Included_Inclus,,,,,,,Included_Inclus,,,,,
