English Name_Nom anglais,French Name_Nom français,Scientific Name_Nom scientifique,Regularly Occurring Native Species (included in analyses) _Espèce indigène régulièrement présente (incluse dans les analyses),Species Whose Range Expanded Into Canada Since 1970 (excluded from indicators) _Espèces dont l'aire de répartition s'est étendue au Canada depuis 1970 (exclus des indicateurs),Waterfowl _Sauvagine,Birds of Prey _Oiseaux de proie,Wetland Birds _Oiseaux de milieux humides,Seabirds _Oiseaux de mer,Forest Birds _Oiseaux forestiers,All Other Birds _Tous les autres oiseaux,Shorebirds _Oiseaux de rivage,Grassland Birds _Oiseaux de prairie,Aerial Insectivores _Insectivores aériens,Waterfowl and Wetland Birds - Goose species _Sauvagine et oiseaux de milieux humides - espèces d'oies,Waterfowl and Wetland Birds - Duck Species _Sauvagine et oiseaux de milieux humides - espèces de canards,Grassland Birds - Species Dependent On Native  Grassland _Oiseaux de prairie - espèces dépendantes des prairies indigènes,Grassland Birds - Species Tolerant Of Agriculture _Oiseaux de prairie - espèces tolérantes des paysages agricoles,Shorebirds - Long-distance Migrants _Oiseaux de rivage migrant sur de grandes distances,Shorebirds - Short-distance Migrants _Oiseaux de rivage migrant sur de courtes distances,Forest Birds - Species Wintering In South America _Oiseaux forestiers - espèces hivernant en Amérique du Sud,Forest Birds - Species Wintering In Canada _Oiseaux forestiers - espèces hivernant au Canada,Forest Birds - Forest Crop Specialists _Oiseaux forestiers - spécialistes de graines et de fruits d'arbres,
Northern Rough-winged Swallow,Hirondelle à ailes hérissées,Stelgidopteryx serripennis,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,,,
Bank Swallow,Hirondelle de rivage,Riparia riparia,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,,,
Cliff Swallow,Hirondelle à front blanc,Petrochelidon pyrrhonota,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,,,
Barn Swallow,Hirondelle rustique,Hirundo rustica,Included_Inclus,,,,,,,,,,Included_Inclus,,,,,,,,,,
Black-capped Chickadee,Mésange à tête noire,Poecile atricapillus,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,,
Mountain Chickadee,Mésange de Gambel,Poecile gambeli,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,,
Chestnut-backed Chickadee,Mésange à dos marron,Poecile rufescens,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,,
Boreal Chickadee,Mésange à tête brune,Poecile hudsonicus,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,,
Gray-headed Chickadee,Mésange lapone,Poecile cinctus,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Tufted Titmouse,Mésange bicolore,Baeolophus bicolor,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,,
Bushtit,Mésange buissonnière,Psaltriparus minimus,,Included_Inclus,,,,,,,,,,,,,,,,,,,
Red-breasted Nuthatch,Sittelle à poitrine rousse,Sitta canadensis,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,,
White-breasted Nuthatch,Sittelle à poitrine blanche,Sitta carolinensis,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,,
Pygmy Nuthatch,Sittelle pygmée,Sitta pygmaea,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,,
Brown Creeper,Grimpereau brun,Certhia americana,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,,
Rock Wren,Troglodyte des rochers,Salpinctes obsoletus,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Canyon Wren,Troglodyte des canyons,Catherpes mexicanus,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
House Wren,Troglodyte familier,Troglodytes aedon,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Pacific Wren,Troglodyte de Baird,Troglodytes pacificus,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,,
Winter Wren,Troglodyte des forêts,Troglodytes hiemalis,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Sedge Wren,Troglodyte à bec court,Cistothorus platensis,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Marsh Wren,Troglodyte des marais,Cistothorus palustris,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Carolina Wren,Troglodyte de Caroline,Thryothorus ludovicianus,,Included_Inclus,,,,,,,,,,,,,,,,,,,
Bewick's Wren,Troglodyte de Bewick,Thryomanes bewickii,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,,
Blue-gray Gnatcatcher,Gobemoucheron gris-bleu,Polioptila caerulea,,Included_Inclus,,,,,,,,,,,,,,,,,,,
American Dipper,Cincle d'Amérique,Cinclus mexicanus,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Golden-crowned Kinglet,Roitelet à couronne dorée,Regulus satrapa,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Ruby-crowned Kinglet,Roitelet à couronne rubis,Regulus calendula,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Bluethroat,Gorgebleue à miroir,Luscinia svecica,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Northern Wheatear,Traquet motteux,Oenanthe oenanthe,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Eastern Bluebird,Merlebleu de l'Est,Sialia sialis,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Western Bluebird,Merlebleu de l'Ouest,Sialia mexicana,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Mountain Bluebird,Merlebleu azuré,Sialia currucoides,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Townsend's Solitaire,Solitaire de Townsend,Myadestes townsendi,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Veery,Grive fauve,Catharus fuscescens,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,Included_Inclus,,,
Gray-cheeked Thrush,Grive à joues grises,Catharus minimus,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,Included_Inclus,,,
Bicknell's Thrush,Grive de Bicknell,Catharus bicknelli,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Swainson's Thrush,Grive à dos olive,Catharus ustulatus,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,Included_Inclus,,,
Hermit Thrush,Grive solitaire,Catharus guttatus,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Wood Thrush,Grive des bois,Hylocichla mustelina,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
American Robin,Merle d'Amérique,Turdus migratorius,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Varied Thrush,Grive à collier,Ixoreus naevius,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,Included_Inclus,
Gray Catbird,Moqueur chat,Dumetella carolinensis,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Brown Thrasher,Moqueur roux,Toxostoma rufum,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Sage Thrasher,Moqueur des armoises,Oreoscoptes montanus,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Northern Mockingbird,Moqueur polyglotte,Mimus polyglottos,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
European Starling,Étourneau sansonnet,Sturnus vulgaris,,,,,,,,,,,,,,,,,,,,,
Bohemian Waxwing,Jaseur boréal,Bombycilla garrulus,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,Included_Inclus,
Cedar Waxwing,Jaseur d'Amérique,Bombycilla cedrorum,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
House Sparrow,Moineau domestique,Passer domesticus,,,,,,,,,,,,,,,,,,,,,
Eastern Yellow Wagtail,Bergeronnette de Béringie,Motacilla tschutschensis,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
American Pipit,Pipit d'Amérique,Anthus rubescens,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Sprague's Pipit,Pipit de Sprague,Anthus spragueii,Included_Inclus,,,,,,,,,Included_Inclus,,,,Included_Inclus,,,,,,,
Evening Grosbeak,Gros-bec errant,Coccothraustes vespertinus,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,Included_Inclus,
Pine Grosbeak,Durbec des sapins,Pinicola enucleator,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,Included_Inclus,
Gray-crowned Rosy-Finch,Roselin à tête grise,Leucosticte tephrocotis,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
House Finch,Roselin familier,Haemorhous mexicanus,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Purple Finch,Roselin pourpré,Haemorhous purpureus,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,Included_Inclus,
Cassin's Finch,Roselin de Cassin,Haemorhous cassinii,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,Included_Inclus,
Common Redpoll,Sizerin flammé,Acanthis flammea,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,
Hoary Redpoll,Sizerin blanchâtre,Acanthis hornemanni,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Red Crossbill,Bec-croisé des sapins,Loxia curvirostra,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,Included_Inclus,
White-winged Crossbill,Bec-croisé bifascié,Loxia leucoptera,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,Included_Inclus,
Pine Siskin,Tarin des pins,Spinus pinus,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,Included_Inclus,
American Goldfinch,Chardonneret jaune,Spinus tristis,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,Included_Inclus,,
Lapland Longspur,Plectrophane lapon,Calcarius lapponicus,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Chestnut-collared Longspur,Plectrophane à ventre noir,Calcarius ornatus,Included_Inclus,,,,,,,,,Included_Inclus,,,,Included_Inclus,,,,,,,
Smith's Longspur,Plectrophane de Smith,Calcarius pictus,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
McCown's Longspur,Plectrophane de McCown,Rhynchophanes mccownii,Included_Inclus,,,,,,,,,Included_Inclus,,,,Included_Inclus,,,,,,,
Snow Bunting,Plectrophane des neiges,Plectrophenax nivalis,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Spotted Towhee,Tohi tacheté,Pipilo maculatus,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Eastern Towhee,Tohi à flancs roux,Pipilo erythrophthalmus,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
American Tree Sparrow,Bruant hudsonien,Spizelloides arborea,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Chipping Sparrow,Bruant familier,Spizella passerina,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Clay-colored Sparrow,Bruant des plaines,Spizella pallida,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Brewer's Sparrow,Bruant de Brewer,Spizella breweri,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Field Sparrow,Bruant des champs,Spizella pusilla,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Vesper Sparrow,Bruant vespéral,Pooecetes gramineus,Included_Inclus,,,,,,,,,Included_Inclus,,,,,,,,,,,
Lark Sparrow,Bruant à joues marron,Chondestes grammacus,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Lark Bunting,Bruant noir et blanc,Calamospiza melanocorys,Included_Inclus,,,,,,,,,Included_Inclus,,,,Included_Inclus,,,,,,,
Savannah Sparrow,Bruant des prés,Passerculus sandwichensis,Included_Inclus,,,,,,,,,Included_Inclus,,,,,Included_Inclus,,,,,,
Grasshopper Sparrow,Bruant sauterelle,Ammodramus savannarum,Included_Inclus,,,,,,,,,Included_Inclus,,,,,Included_Inclus,,,,,,
Baird's Sparrow,Bruant de Baird,Ammodramus bairdii,Included_Inclus,,,,,,,,,Included_Inclus,,,,Included_Inclus,,,,,,,
Henslow's Sparrow,Bruant de Henslow,Ammodramus henslowii,Included_Inclus,,,,,,,,,Included_Inclus,,,,,Included_Inclus,,,,,,
Le Conte's Sparrow,Bruant de LeConte,Ammodramus leconteii,Included_Inclus,,,,,,,,,Included_Inclus,,,,,Included_Inclus,,,,,,
Nelson's Sparrow,Bruant de Nelson,Ammodramus nelsoni,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Fox Sparrow,Bruant fauve,Passerella iliaca,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Song Sparrow,Bruant chanteur,Melospiza melodia,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Lincoln's Sparrow,Bruant de Lincoln,Melospiza lincolnii,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Swamp Sparrow,Bruant des marais,Melospiza georgiana,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
White-throated Sparrow,Bruant à gorge blanche,Zonotrichia albicollis,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Harris's Sparrow,Bruant à face noire,Zonotrichia querula,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
White-crowned Sparrow,Bruant à couronne blanche,Zonotrichia leucophrys,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Golden-crowned Sparrow,Bruant à couronne dorée,Zonotrichia atricapilla,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Dark-eyed Junco,Junco ardoisé,Junco hyemalis,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Yellow-breasted Chat,Ictérie polyglotte,Icteria virens,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Yellow-headed Blackbird,Carouge à tête jaune,Xanthocephalus xanthocephalus,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Bobolink,Goglu des prés,Dolichonyx oryzivorus,Included_Inclus,,,,,,,,,Included_Inclus,,,,,Included_Inclus,,,,,,
Eastern Meadowlark,Sturnelle des prés,Sturnella magna,Included_Inclus,,,,,,,,,Included_Inclus,,,,,Included_Inclus,,,,,,
Western Meadowlark,Sturnelle de l'Ouest,Sturnella neglecta,Included_Inclus,,,,,,,,,Included_Inclus,,,,,,,,,,,
Orchard Oriole,Oriole des vergers,Icterus spurius,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Bullock's Oriole,Oriole de Bullock,Icterus bullockii,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Baltimore Oriole,Oriole de Baltimore,Icterus galbula,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Red-winged Blackbird,Carouge à épaulettes,Agelaius phoeniceus,Included_Inclus,,,,Included_Inclus,,,,,,,,,,,,,,,,
Brown-headed Cowbird,Vacher à tête brune,Molothrus ater,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Rusty Blackbird,Quiscale rouilleux,Euphagus carolinus,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Brewer's Blackbird,Quiscale de Brewer,Euphagus cyanocephalus,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Common Grackle,Quiscale bronzé,Quiscalus quiscula,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Ovenbird,Paruline couronnée,Seiurus aurocapilla,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Worm-eating Warbler,Paruline vermivore,Helmitheros vermivorum,Included_Inclus,,,,,,,Included_Inclus,,,,,,,,,,,,,
Louisiana Waterthrush,Paruline hochequeue,Parkesia motacilla,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Northern Waterthrush,Paruline des ruisseaux,Parkesia noveboracensis,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Golden-winged Warbler,Paruline à ailes dorées,Vermivora chrysoptera,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Blue-winged Warbler,Paruline à ailes bleues,Vermivora cyanoptera,,Included_Inclus,,,,,,,,,,,,,,,,,,,
Black-and-white Warbler,Paruline noir et blanc,Mniotilta varia,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Prothonotary Warbler,Paruline orangée,Protonotaria citrea,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Tennessee Warbler,Paruline obscure,Oreothlypis peregrina,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Orange-crowned Warbler,Paruline verdâtre,Oreothlypis celata,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
Nashville Warbler,Paruline à joues grises,Oreothlypis ruficapilla,Included_Inclus,,,,,,Included_Inclus,,,,,,,,,,,,,,
